Time,x,y,voltage
1.049422025680542,0,0,0.10
1.0656108856201172,0,1,0.17
1.0656418800354004,0,2,0.10
1.0656611919403076,1,0,0.15
1.081406831741333,1,1,0.17
1.0814378261566162,1,2,0.18
1.0814588069915771,2,0,0.16
1.0972421169281006,2,1,0.16
1.0972750186920166,2,2,0.18
1.0972940921783447,0,0,0.10
1.113063097000122,0,1,0.17
1.113110065460205,0,2,0.11
1.1131329536437988,1,0,0.15
1.1289892196655273,1,1,0.17
1.129042148590088,1,2,0.18
1.1290650367736816,2,0,0.16
1.129082202911377,2,1,0.17
1.145085096359253,2,2,0.18
1.1451141834259033,0,0,0.10
1.1451351642608643,0,1,0.17
1.160768985748291,0,2,0.11
1.160797119140625,1,0,0.15
1.1608140468597412,1,1,0.17
1.1766531467437744,1,2,0.18
1.1766760349273682,2,0,0.16
1.1766939163208008,2,1,0.17
1.1925430297851562,2,2,0.18
1.1925711631774902,0,0,0.10
1.1925899982452393,0,1,0.17
1.2085249423980713,0,2,0.11
1.2085528373718262,1,0,0.15
1.2085721492767334,1,1,0.17
1.2245161533355713,1,2,0.18
1.2245428562164307,2,0,0.16
1.2245628833770752,2,1,0.17
1.240480899810791,2,2,0.19
1.2405140399932861,0,0,0.10
1.240535020828247,0,1,0.17
1.2562940120697021,0,2,0.11
1.256328821182251,1,0,0.15
1.2563519477844238,1,1,0.17
1.2721660137176514,1,2,0.19
1.2721960544586182,2,0,0.16
1.2722201347351074,2,1,0.17
1.2879869937896729,2,2,0.19
1.2880191802978516,0,0,0.10
1.2880439758300781,0,1,0.17
1.3039040565490723,0,2,0.11
1.3039522171020508,1,0,0.15
1.303987979888916,1,1,0.17
1.3199360370635986,1,2,0.19
1.3199851512908936,2,0,0.16
1.3200151920318604,2,1,0.17
1.3358168601989746,2,2,0.19
1.3358659744262695,0,0,0.10
1.3359019756317139,0,1,0.17
1.351660966873169,0,2,0.11
1.351712942123413,1,0,0.15
1.3517470359802246,1,1,0.17
1.3676140308380127,1,2,0.19
1.367668867111206,2,0,0.16
1.3676981925964355,2,1,0.17
1.3835020065307617,2,2,0.19
1.3835549354553223,0,0,0.10
1.3835911750793457,0,1,0.17
1.3992910385131836,0,2,0.11
1.3993639945983887,1,0,0.15
1.3993961811065674,1,1,0.17
1.3994250297546387,1,2,0.19
1.415221929550171,2,0,0.16
1.4152560234069824,2,1,0.17
1.4152822494506836,2,2,0.19
1.4311470985412598,0,0,0.10
1.431183099746704,0,1,0.17
1.4312119483947754,0,2,0.11
1.4471490383148193,1,0,0.15
1.4471940994262695,1,1,0.18
1.4472250938415527,1,2,0.19
1.462965965270996,2,0,0.16
1.4630088806152344,2,1,0.17
1.463042974472046,2,2,0.19
1.478830099105835,0,0,0.10
1.4788720607757568,0,1,0.17
1.4789049625396729,0,2,0.11
1.4948890209197998,1,0,0.15
1.4949512481689453,1,1,0.18
1.4949958324432373,1,2,0.19
1.5107781887054443,2,0,0.16
1.5108349323272705,2,1,0.17
1.510880947113037,2,2,0.19
1.5267271995544434,0,0,0.10
1.5267810821533203,0,1,0.17
1.52683424949646,0,2,0.11
1.5426499843597412,1,0,0.15
1.5427639484405518,1,1,0.18
1.5428359508514404,1,2,0.19
1.5586371421813965,2,0,0.16
1.5587761402130127,2,1,0.17
1.5588788986206055,2,2,0.19
1.5746450424194336,0,0,0.10
1.5752780437469482,0,1,0.17
1.5754570960998535,0,2,0.11
1.5904860496520996,1,0,0.15
1.5911381244659424,1,1,0.18
1.5916900634765625,1,2,0.19
1.606323003768921,2,0,0.16
1.6064879894256592,2,1,0.17
1.6066851615905762,2,2,0.19
1.6222379207611084,0,0,0.10
1.6224620342254639,0,1,0.17
1.622563123703003,0,2,0.11
1.6381301879882812,1,0,0.15
1.6382761001586914,1,1,0.18
1.638422966003418,1,2,0.19
1.6539371013641357,2,0,0.16
1.6541049480438232,2,1,0.17
1.654210090637207,2,2,0.19
1.669896125793457,0,0,0.10
1.6700479984283447,0,1,0.17
1.6701319217681885,0,2,0.11
1.6855189800262451,1,0,0.15
1.6856870651245117,1,1,0.18
1.6857550144195557,1,2,0.19
1.7015340328216553,2,0,0.16
1.7016010284423828,2,1,0.17
1.7016408443450928,2,2,0.19
1.7016801834106445,0,0,0.10
1.7174310684204102,0,1,0.17
1.717484951019287,0,2,0.11
1.7175240516662598,1,0,0.15
1.7331349849700928,1,1,0.18
1.733185052871704,1,2,0.19
1.7332279682159424,2,0,0.17
1.749446153640747,2,1,0.17
1.7495651245117188,2,2,0.19
1.7496261596679688,0,0,0.10
1.7652230262756348,0,1,0.18
1.765336036682129,0,2,0.11
1.7655279636383057,1,0,0.15
1.7812180519104004,1,1,0.18
1.7813620567321777,1,2,0.19
1.7814610004425049,2,0,0.16
1.7971110343933105,2,1,0.18
1.7972650527954102,2,2,0.19
1.7973730564117432,0,0,0.10
1.8131098747253418,0,1,0.18
1.8134331703186035,0,2,0.11
1.8137340545654297,1,0,0.15
1.8288331031799316,1,1,0.18
1.8289799690246582,1,2,0.19
1.829164981842041,2,0,0.16
1.8446290493011475,2,1,0.18
1.8447349071502686,2,2,0.19
1.8447952270507812,0,0,0.10
1.8605091571807861,0,1,0.17
1.8606090545654297,0,2,0.11
1.860666036605835,1,0,0.15
1.876249074935913,1,1,0.18
1.8763508796691895,1,2,0.19
1.8764050006866455,2,0,0.17
1.8921380043029785,2,1,0.18
1.8922128677368164,2,2,0.19
1.8922700881958008,0,0,0.10
1.9080500602722168,0,1,0.18
1.9081361293792725,0,2,0.11
1.9081871509552002,1,0,0.15
1.9243261814117432,1,1,0.18
1.9244310855865479,1,2,0.19
1.924574851989746,2,0,0.17
1.940040111541748,2,1,0.18
1.9404430389404297,2,2,0.19
1.9408822059631348,0,0,0.10
1.9558961391448975,0,1,0.18
1.9560291767120361,0,2,0.11
1.9560999870300293,1,0,0.15
1.9717540740966797,1,1,0.18
1.971916913986206,1,2,0.19
1.972102165222168,2,0,0.17
1.9873809814453125,2,1,0.18
